Time,Speed_kmh,TargetHeight,ActualHeight_FL,AirForce_FL,CDCForce_FL,Current_FL,BodyAcc,BodyVel,FlowRate_FL,Stiffness_FL,AirDamping_FL
0,0,0,0,4913.53,383.97,0,0,0.188496,0,37922.3,2641.68
0.001,0,0,0.000188494,4921.84,383.963,0,0,0.188492,0,38007.3,2647.84
0.002,0,0,0.000376981,4930.15,383.94,0,0,0.188481,0,38092.6,2654.02
0.003,0,0,0.000565453,4938.46,383.902,0,0,0.188462,0,38178.1,2660.22
0.004,0,0,0.000753903,4946.77,383.849,0,0,0.188436,0,38264,2666.44
0.005,0,0,0.000942323,4955.08,383.781,0,0,0.188403,0,38350.1,2672.68
0.006,0,0,0.00113071,4963.39,383.698,0,0,0.188362,0,38436.4,2678.94
0.007,0,0,0.00131904,4971.69,383.599,0,0,0.188313,0,38523,2685.22
0.008,0,0,0.00150733,4980,383.486,0,0,0.188257,0,38609.9,2691.51
0.009,0,0,0.00169556,4988.3,383.357,0,0,0.188194,0,38697,2697.83
0.01,0,0,0.00188372,4996.6,383.213,0,0,0.188124,0,38784.4,2704.17
0.011,0,0,0.0020718,5004.9,383.054,0,0,0.188046,0,38872,2710.52
0.012,0,0,0.0022598,5013.2,382.88,0,0,0.18796,0,38959.9,2716.89
0.013,0,0,0.00244772,5021.49,382.691,0,0,0.187867,0,39048,2723.28
0.014,0,0,0.00263554,5029.78,382.487,0,0,0.187767,0,39136.4,2729.69
0.015,0,0,0.00282325,5038.06,382.267,0,0,0.187659,0,39225,2736.12
0.016,0,0,0.00301085,5046.34,382.033,0,0,0.187544,0,39313.8,2742.56
0.017,0,0,0.00319833,5054.61,381.783,0,0,0.187421,0,39402.9,2749.03
0.018,0,0,0.00338569,5062.87,381.519,0,0,0.187291,0,39492.2,2755.51
0.019,0,0,0.00357291,5071.13,381.239,0,0,0.187154,0,39581.7,2762
0.02,0,0,0.00376,5079.39,380.945,0,0,0.187009,0,39671.5,2768.51
0.021,0,0,0.00394693,5087.63,380.635,0,0,0.186857,0,39761.5,2775.04
0.022,0,0,0.00413371,5095.87,380.31,0,0,0.186698,0,39851.7,2781.59
0.023,0,0,0.00432032,5104.1,379.971,0,0,0.186531,0,39942.1,2788.15
0.024,0,0,0.00450677,5112.32,379.616,0,0,0.186356,0,40032.8,2794.73
0.025,0,0,0.00469303,5120.54,379.246,0,0,0.186175,0,40123.6,2801.32
0.026,0,0,0.00487911,5128.74,378.862,0,0,0.185986,0,40214.7,2807.93
0.027,0,0,0.005065,5136.93,378.462,0,0,0.18579,0,40305.9,2814.56
0.028,0,0,0.00525069,5145.11,378.048,0,0,0.185586,0,40397.4,2821.2
